_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
5de83d56-f337-44b6-9347-d05a4b8bf78b,Laranjeiras do Sul,2017,2,GCB030,Microbiologia,3,45,19073,Agronomia (Turma B) - 6ª Fase - Integral - 2017/2,,2503,AGRONOMIA,6,,0,0,20,0,0,Cancelamento Administrativo,2022-02-22
125cc616-cba2-4b6a-858f-9ea0dc3167da,Realeza,2020,1,GLA261,Estudos da língua espanhola V: morfossintaxe,2,30,27025,Letras: Português e Espanhol - 5ª Fase - Noturno - 2020/1,,3803,LETRAS - PORTUGUÊS E ESPANHOL,5,"[{""docente"":""MATHEUS FRANÇA RAGIEVICZ"",""ch_docente"":30}]",0,0,30,0,0,Cancelamento Administrativo,2022-02-22
ce7e0142-796b-4208-8304-30fe54b4ef8d,Laranjeiras do Sul,2018,1,GCH591,Filosofia III,4,60,20083,Interdisciplinar em educação do campo: ciências sociais e humanas (Pronacampo) - 7ª Fase - Integral - 2018/1,,2550,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,7,"[{""docente"":""EVANDRO BILIBIO"",""ch_docente"":60}]",0,0,60,23,23,Encerrada,2022-02-22
5b976337-26dc-46ca-9d83-c2ed31ac58f1,Laranjeiras do Sul,2016,1,GEN006,Fenômenos de transporte III,4,60,13739,Engenharia de Alimentos - 9ª Fase - Integral - 2016/1,,2310,ENGENHARIA DE ALIMENTOS,9,"[{""docente"":""GUSTAVO HENRIQUE FIDELIS DOS SANTOS"",""ch_docente"":60}]",0,0,50,10,10,Encerrada,2022-02-22
289eb135-caf5-4420-afaf-ef213859a6ab,Realeza,2017,1,GCB037,Microbiologia de alimentos,4,60,17094,Nutrição (Turma A) - 5ª Fase - Integral - 2017/1,,3410,NUTRIÇÃO,5,"[{""docente"":""ALEXANDRE CARVALHO DE MOURA"",""ch_docente"":45}]",0,0,20,19,19,Encerrada,2022-02-22
a3e31219-c557-47d4-a767-438202044b1f,Realeza,2017,1,GSA026,Bases da técnica dietética e culinária,4,60,17090,Nutrição (Turma A) -3ª Fase - Integral - 2017/1,,3410,NUTRIÇÃO,3,"[{""docente"":""ELISTER LILIAN BRUM BALESTRIN"",""ch_docente"":45}]",0,0,20,20,20,Encerrada,2022-02-22
22426067-b3ce-44c2-8f08-37e8a2d9d18a,Laranjeiras do Sul,2017,1,GCA015,Embalagem de alimentos,3,45,17515,Engenharia de Alimentos - Integral - 9ª Fase - 2017/1,,2310,ENGENHARIA DE ALIMENTOS,9,"[{""docente"":""VANIA ZANELLA PINTO"",""ch_docente"":45}]",0,0,50,26,23,Encerrada,2022-02-22
37b5ae00-2844-4781-a6c7-81d9fce5434d,Realeza,2017,2,GCB066,Fisiologia veterinária I,4,60,18998,Medicina Veterinária (Turma A) - 4ª Fase - Integral - 2017/2,,3530,MEDICINA VETERINÁRIA,4,"[{""docente"":""DENISE MARIA SOUSA DE MELLO"",""ch_docente"":45}]",0,0,26,24,22,Encerrada,2022-02-22
082fcdeb-0ea5-4f64-a284-8f25e083a81f,Chapecó,2017,2,GCH378,História da América II,4,60,19097,História - 5ª Fase - Noturno - 2017/2,,1721,HISTÓRIA,5,"[{""docente"":""ANTONIO LUIZ MIRANDA"",""ch_docente"":60}]",0,0,50,28,26,Encerrada,2022-02-22
b2b4ea1c-8624-4ea8-ab0b-c9d446291f5e,Chapecó,2019,2,GCH291,Introdução ao pensamento social,4,60,25985,Pedagogia - 2ª Fase - Matutino - 2019/2,,1730,PEDAGOGIA,2,"[{""docente"":""JOANA GOLIN ALVES"",""ch_docente"":15},{""docente"":""JOVILES VITORIO TREVISOL"",""ch_docente"":45}]",0,0,50,48,44,Encerrada,2022-02-22
13d16ccc-b2bd-492f-a52c-705b4c71e76c,Erechim,2015,1,GEX116,Geomorfologia e pedologia,3,45,10164,Agronomia - 3ª Fase - Integral - 2015/1,,5502,AGRONOMIA,3,"[{""docente"":""ALFREDO CASTAMANN"",""ch_docente"":45}]",0,0,50,50,49,Encerrada,2022-02-22
406740e7-f42f-4de2-940a-cf57588090c9,Laranjeiras do Sul,2016,1,GCA012,Análise de alimentos,4,60,13729,Engenharia de Alimentos - 7ª Fase - Integral - 2016/1,,2310,ENGENHARIA DE ALIMENTOS,7,"[{""docente"":""VANIA ZANELLA PINTO"",""ch_docente"":60}]",0,0,50,11,10,Encerrada,2022-02-22
0aff4e87-b4c0-4ec8-9351-8d9ef99e53cb,Laranjeiras do Sul,2015,1,GCS138,Economia internacional,4,60,10351,Ciências econômicas - 9ª Fase - Integral - 2015/1,,2601,CIÊNCIAS ECONÔMICAS,9,"[{""docente"":""MARCIO MORAES RUTKOSKI"",""ch_docente"":60}]",0,0,58,22,22,Encerrada,2022-02-22
eb0c9ddc-3b45-4fe7-9166-ebe0d4617650,Realeza,2015,2,GLA043,"Literaturas catarinense, paranaense e sul-riograndense",3,45,11281,Letras - Português e Espanhol - 10ª Fase - Noturno - 2015/2,,3803,LETRAS - PORTUGUÊS E ESPANHOL,10,"[{""docente"":""SERGIO ROBERTO MASSAGLI"",""ch_docente"":45}]",0,0,30,15,14,Encerrada,2022-02-22
441aac17-ca5f-45ef-ba0e-ffb1c3d07ac3,Cerro Largo,2018,1,GLA001,Leitura e produção textual I,4,60,20216,Administração - 1ª Fase - Integral - 2018/1,,4601,ADMINISTRAÇÃO,1,"[{""docente"":""LEILA BOM CAMILLO"",""ch_docente"":60}]",0,0,54,55,50,Encerrada,2022-02-22
a86fc3f2-4901-4e38-9441-0e59a2d4ec15,Erechim,2016,2,GCB131,Nutrição vegetal,2,30,16021,Agronomia - 4ª Fase - Integral - 2016/2,,5502,AGRONOMIA,4,"[{""docente"":""ALFREDO CASTAMANN"",""ch_docente"":30}]",0,0,53,53,50,Encerrada,2022-02-22
3f10678b-1ebd-4d51-a61e-87bcff698471,Realeza,2015,1,GCB077,Imunologia veterinária,4,60,11049,"Medicina Veterinária (Turma Especial) - 5ª, 7ª, 9ª Fase - Integral - 2015/1",,3530,MEDICINA VETERINÁRIA,9,"[{""docente"":""MARIA ANGELA MACHADO FERNANDES"",""ch_docente"":60}]",0,0,35,30,29,Encerrada,2022-02-22
0349a814-0c93-4db7-bcdb-85b048d5ba73,Chapecó,2018,1,GEX007,Química geral,4,60,20209,Agronomia (Turma B) - 1ª Fase - Integral - 2018/1,,1501,AGRONOMIA,1,"[{""docente"":""ARLINDO CRISTIANO FELIPPE"",""ch_docente"":45}]",0,0,30,29,25,Encerrada,2022-02-22
