_id,nome_campus,cod_uffs,cod_emec,nome_curso,turno,modalidade,regime,desc_matriz,ano,semestre,permite_ingresso,em_andamento,ch_obrigatoria,ch_optativa,ch_eletiva,ch_accs,ch_total,ch_max_sem,ch_min_sem,ch_1a_fase,quant_semestres,limite_semestres,linha_formacao,data_atualizacao
78cbe16f-d43d-4b9c-8047-1c47891f1398,Erechim,5510,1276258,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA,INTEGRAL,Graduação - Licenciatura,Semestral,62-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA - ERECHIM - 2013,2013,2,Não,Sim,3000,180,0,210,3390,600,0,420,8,16,,2022-02-22
6b76dfea-3c22-472e-a357-acbdbed480a1,Chapecó,1711,5000398,GEOGRAFIA,NOTURNO,Graduação - Licenciatura,Semestral,66-GEOGRAFIA - CHAPECÓ - 2014/2,2014,2,Sim,Sim,2850,60,60,210,3180,540,0,0,9,18,,2022-02-22
a9509222-ad9a-4868-b0fa-6d58e14a68b7,Chapecó,1711,5000398,GEOGRAFIA,NOTURNO,Graduação - Licenciatura,Semestral,11-GEOGRAFIA - CHAPECÓ - 2010/2,2010,2,Não,Sim,2895,120,0,210,3225,450,0,300,9,18,,2022-02-22
141a5c34-0638-40e0-a62f-c62073df2994,Cerro Largo,4802,5000405,LETRAS - PORTUGUÊS E ESPANHOL,NOTURNO,Graduação - Licenciatura,Semestral,105-LETRAS - PORTUGUÊS E ESPANHOL - CERRO LARGO - 2020,2020,1,Sim,Sim,3150,180,0,210,3540,600,0,0,9,18,,2022-02-22
5cf2de91-d7f7-4b67-8f7c-8249ef831251,Cerro Largo,4802,5000405,LETRAS - PORTUGUÊS E ESPANHOL,NOTURNO,Graduação - Licenciatura,Semestral,34-LETRAS - PORTUGUÊS E ESPANHOL - CERRO LARGO - 2010,2010,1,Não,Sim,3585,60,0,210,3855,540,0,360,10,20,,2022-02-22
c2139913-c481-4b47-adfe-4473a4e385ff,Erechim,5712,5000399,GEOGRAFIA,NOTURNO,Graduação - Licenciatura,Semestral,88-GEOGRAFIA - LIC - ERECHIM - 2018,2018,1,Sim,Sim,3090,180,0,210,3480,480,0,0,9,18,,2022-02-22
fe6fae9d-0c83-492b-b0dd-d45f544bb0f9,Erechim,5712,5000399,GEOGRAFIA,NOTURNO,Graduação - Licenciatura,Semestral,39-GEOGRAFIA - LIC - ERECHIM - 2010,2010,1,Não,Sim,2895,120,0,210,3225,600,0,300,9,18,,2022-02-22
0a4d59b0-4bfb-46a3-abd6-97e13489bbd9,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Graduação - Licenciatura,Semestral,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,2014,1,Sim,Sim,2535,180,120,210,3045,600,0,0,9,18,,2022-02-22
be6bd340-12e0-47cb-a7c1-6529e15bd4f1,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Graduação - Licenciatura,Semestral,42-CIÊNCIAS SOCIAIS - ERECHIM - 2010,2010,1,Não,Sim,2715,360,0,210,3285,600,0,300,9,18,,2022-02-22
46206337-7418-4a09-8b4e-7af0d2ae4205,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Graduação - Bacharelado,Semestral,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010,2010,1,Não,Sim,3975,330,0,210,4515,480,0,450,10,20,Agroecologia,2022-02-22
35acc8a9-91b1-48fb-b75e-7c2b5aff93ad,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Graduação - Bacharelado,Semestral,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017,2017,1,Sim,Sim,4080,225,0,210,4515,525,0,0,10,20,Agroecologia,2022-02-22
059cc3e8-c3e4-4baf-a467-33e405d4f612,Chapecó,1101,5000385,CIÊNCIA DA COMPUTAÇÃO,NOTURNO,Graduação - Bacharelado,Semestral,83-CIÊNCIA DA COMPUTAÇÃO - CHAPECÓ - 2018/2,2018,2,Sim,Sim,2610,300,0,300,3210,480,0,0,10,20,,2022-02-22
9179db61-2e46-48b1-b7a8-36fed7972559,Chapecó,1101,5000385,CIÊNCIA DA COMPUTAÇÃO,NOTURNO,Graduação - Bacharelado,Semestral,2-CIÊNCIA DA COMPUTAÇÃO - CHAPECÓ - 2010/2,2010,2,Não,Sim,2640,240,0,210,3090,480,0,300,10,20,,2022-02-22
a7156608-7574-4b26-a3f6-97ce088e2e53,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Graduação - Bacharelado,Semestral,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010,2010,1,Não,Sim,3795,90,0,210,4095,540,0,345,11,22,,2022-02-22
f8008e26-afc3-44d2-8665-bbfd32e8deb5,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Graduação - Bacharelado,Semestral,75-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2016,2016,1,Sim,Sim,3630,90,0,210,3930,540,0,0,10,20,,2022-02-22
1752a5cc-eb23-4615-b37c-9a0dd9a1e586,Chapecó,1301,5000390,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL,Graduação - Bacharelado,Semestral,3-ENGENHARIA AMBIENTAL - CHAPECÓ - 2010,2010,1,Não,Não,3975,105,0,150,4230,555,180,390,10,20,,2022-02-22
239eb9d8-b6ca-4970-a643-ac50cc7c4326,Chapecó,1301,5000390,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL,Graduação - Bacharelado,Semestral,57-ENGENHARIA AMBIENTAL E SANITÁRIA - CHAPECÓ - 2013,2013,1,Sim,Sim,3795,135,0,150,4080,555,0,0,10,20,,2022-02-22
d024ee3b-d164-454e-9945-4dda72d48943,Cerro Largo,4300,5000389,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL,Graduação - Bacharelado,Semestral,58-ENGENHARIA AMBIENTAL E SANITÁRIA - CERRO LARGO - 2013,2013,1,Sim,Sim,3750,180,0,150,4080,600,0,0,10,20,,2022-02-22
0caf639a-8115-4486-afd7-26dd1019b260,Cerro Largo,4300,5000389,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL,Graduação - Bacharelado,Semestral,31-ENGENHARIA AMBIENTAL - CERRO LARGO - 2010/1,2010,1,Não,Não,3975,150,0,105,4230,600,30,390,10,20,,2022-02-22
8d5e149b-f80d-408b-b1a9-4283b2703a87,Chapecó,1400,5000388,ENFERMAGEM,INTEGRAL,Graduação - Bacharelado,Semestral,4-ENFERMAGEM - CHAPECÓ - 2010,2010,1,Sim,Sim,4155,0,0,240,4395,600,0,0,10,20,,2022-02-22
2bb89e2d-cac8-4e37-8927-f5f4245ebec5,Cerro Largo,4120,1152567,QUÍMICA,NOTURNO,Graduação - Licenciatura,Semestral,49-QUÍMICA - CERRO LARGO - 2013,2013,1,Não,Sim,3060,30,0,210,3300,480,0,300,9,18,,2022-02-22
7d5a964b-5446-4657-a104-c51d9560f07e,Cerro Largo,4120,1152567,QUÍMICA,NOTURNO,Graduação - Licenciatura,Semestral,86-QUÍMICA - CERRO LARGO - 2018,2018,1,Sim,Sim,3210,180,0,210,3600,480,0,0,10,20,,2022-02-22
3b5f34a4-b640-47d6-b641-55958bf1a85c,Chapecó,1100,5000385,CIÊNCIA DA COMPUTAÇÃO,VESPERTINO,Graduação - Bacharelado,Semestral,82-CIÊNCIA DA COMPUTAÇÃO - CHAPECÓ - 2018/1,2018,1,Sim,Sim,2610,300,0,300,3210,480,0,0,8,16,,2022-02-22
