_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
1d7a84b4-1e8c-40f2-b178-c2b440653fc1,GCH137,Trabalho de conclusão de curso II,2,30,8-FILOSOFIA - CHAPECÓ - 2010/1,7,Sim,Não,Chapecó,1700,5000396,FILOSOFIA,MATUTINO,Não,Sim,2022-02-22
f6769f66-f0da-4083-ae2b-3990500124b8,GCH1370,Estágio curricular supervisionado V,6,90,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,8,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
ecf9bde2-7b9f-4e9c-a36c-1f25881a99a9,GCH1371,Trabalho de conclusão de curso III,2,30,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,8,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
df9d1078-7b0b-4dc1-8da7-d7fb59173093,GCH1372,Antropologia indígena,3,45,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,8,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
00a07f57-9f26-4e1a-b16a-1f9ac039407a,GCH1373,Seminário de socialização de trabalho de conclusão de curso,2,30,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,9,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
a75ae448-c281-464b-bf41-d2c6bc522a55,GCH1374,Teoria cooperativista,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
11df4fc3-7050-45ed-9963-16d935885d57,GCH1375,Fundamentos da agroecologia,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
73673d2f-c747-46fe-bd80-7bb012dd91be,GCH1376,Educação escolar indígena,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
c6ae709c-e055-4c14-ba19-39b2f19b9ea1,GCH1377,Tópicos especiais de História,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
30857610-7728-49db-a603-b26972bd3b0d,GCH1378,Tópicos especiais de Filosofia,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
af864991-e94e-4674-8ad7-a4e3c36a07e8,GCH1379,Tópicos especiais de Geografia,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
06a90979-f67f-4364-9a74-e66f34046d4a,GCH138,Trabalho de conclusão de curso III,2,30,9-FILOSOFIA - CHAPECÓ - 2010/2,9,Sim,Não,Chapecó,1701,5000396,FILOSOFIA,NOTURNO,Não,Sim,2022-02-22
7b8bf433-3d90-48be-aaee-975c70619b0d,GCH138,Trabalho de conclusão de curso III,2,30,8-FILOSOFIA - CHAPECÓ - 2010/1,8,Sim,Não,Chapecó,1700,5000396,FILOSOFIA,MATUTINO,Não,Sim,2022-02-22
9288d252-c59b-40d9-a1b5-0bffb2f7c7fe,GCH138,Trabalho de conclusão de curso III,2,30,38-FILOSOFIA - ERECHIM - 2010,9,Sim,Não,Erechim,5702,5000397,FILOSOFIA,NOTURNO,Não,Sim,2022-02-22
2e589279-0b4c-4898-9e6a-dbd7a2c1b3ba,GCH1380,Tópicos especiais de Sociologia,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
da5b9702-af28-46b8-b585-83554ee7dd88,GCH1381,História e cultura afro-brasileira,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
825251d7-3943-4469-a49d-5b35a4fd49dc,GCH1382,Filosofia da educação,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
eb06472c-c5c8-47b8-93e5-959aa4157cfe,GCH1383,História e epistemologia das ciências,4,60,111-CIÊNCIAS BIOLÓGICAS - REALEZA - 2021,5,Sim,Não,Realeza,3201,1152571,CIÊNCIAS BIOLÓGICAS,NOTURNO,Sim,Sim,2022-02-22
fe856606-a365-44eb-a905-63f48c36e586,GCH1384,Avaliação da aprendizagem,4,60,111-CIÊNCIAS BIOLÓGICAS - REALEZA - 2021,0,Não,Sim,Realeza,3201,1152571,CIÊNCIAS BIOLÓGICAS,NOTURNO,Sim,Sim,2022-02-22
06f9f42f-d691-4e83-96ea-2b8630a3c315,GCH1385,Educação de jovens e adultos,4,60,111-CIÊNCIAS BIOLÓGICAS - REALEZA - 2021,0,Não,Sim,Realeza,3201,1152571,CIÊNCIAS BIOLÓGICAS,NOTURNO,Sim,Sim,2022-02-22
15a3abfe-1af7-4e30-8620-c091429404bf,GCH1386,Sexualidade e diversidade,4,60,111-CIÊNCIAS BIOLÓGICAS - REALEZA - 2021,0,Não,Sim,Realeza,3201,1152571,CIÊNCIAS BIOLÓGICAS,NOTURNO,Sim,Sim,2022-02-22
4ef4a7e9-a264-4086-aedd-55a7666762d6,GCH1387,Tópicos especiais em educação,4,60,111-CIÊNCIAS BIOLÓGICAS - REALEZA - 2021,0,Não,Sim,Realeza,3201,1152571,CIÊNCIAS BIOLÓGICAS,NOTURNO,Sim,Sim,2022-02-22
e39db9d8-c375-4418-a9f3-3fe4d19d3052,GCH1388,Sociologia I,4,60,109-CIÊNCIAS SOCIAIS - CHAPECÓ - 2020,2,Sim,Não,Chapecó,1741,5000407,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2022-02-22
37740e14-3db2-43c6-abfb-8f6b157d0c3e,GCH1389,Antropologia I,4,60,109-CIÊNCIAS SOCIAIS - CHAPECÓ - 2020,1,Sim,Não,Chapecó,1741,5000407,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2022-02-22
e4429fa5-519f-41c9-b3cd-6550f5da1315,GCH139,Estágio curricular supervisionado I,7,105,8-FILOSOFIA - CHAPECÓ - 2010/1,5,Sim,Não,Chapecó,1700,5000396,FILOSOFIA,MATUTINO,Não,Sim,2022-02-22
27c66f0e-097f-498b-a0ff-e4eae49507f3,GCH139,Estágio curricular supervisionado I,7,105,38-FILOSOFIA - ERECHIM - 2010,5,Sim,Não,Erechim,5702,5000397,FILOSOFIA,NOTURNO,Não,Sim,2022-02-22
f8f30ae7-96cb-42e5-b7d0-ad438d2124f5,GCH139,Estágio curricular supervisionado I,7,105,9-FILOSOFIA - CHAPECÓ - 2010/2,5,Sim,Não,Chapecó,1701,5000396,FILOSOFIA,NOTURNO,Não,Sim,2022-02-22
9f5c8f1e-d5eb-4d6f-84a3-115b10d4c115,GCH1390,Ciência política I,4,60,109-CIÊNCIAS SOCIAIS - CHAPECÓ - 2020,1,Sim,Não,Chapecó,1741,5000407,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2022-02-22
f6364892-cdce-499f-b33c-cfdc70efb8f6,GCH1391,Sociologia II,4,60,109-CIÊNCIAS SOCIAIS - CHAPECÓ - 2020,3,Sim,Não,Chapecó,1741,5000407,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2022-02-22
